SystemSku,Downloadlink
Surface_Book_3_1899,http://aka.ms/SurfaceBook3/
Surface_Book_1793,http://aka.ms/SurfaceBook2/
,http://aka.ms/SurfaceBook/
Surface_Laptop_Go_1943,http://aka.ms/SurfaceLaptopGo/
Surface_Laptop_4_1950:1951,http://aka.ms/SurfaceLaptop4/Intel/
Surface_Laptop_4_1958:1959,http://aka.ms/SurfaceLaptop4/AMD/
Surface_Laptop_3_1867:1868,http://aka.ms/SurfaceLaptop3/Intel/
,http://aka.ms/SurfaceLaptop3/AMD/
Surface_Laptop_2_1769_Commercial,http://aka.ms/SurfaceLaptop2/
Surface_Laptop,http://aka.ms/SurfaceLaptop/
Surface_Go_1824_Commercial,http://aka.ms/SurfaceGo/
,http://aka.ms/SurfacePro7Plus/
Surface_Pro_X_1876,http://aka.ms/SurfaceProX/
Surface_Pro_7_1866,http://aka.ms/SurfacePro7/
Surface_Pro_6_1796_Commercial,http://aka.ms/SurfacePro6/
Surface_Pro_6_1796_Consumer,http://aka.ms/SurfacePro6/
Surface_Pro_1796,http://aka.ms/SurfacePro5/
,http://aka.ms/SurfacePro4/
Surface_3,http://aka.ms/SurfacePro3/
Surface_Go_2_1926,http://aka.ms/SurfaceGo2/
,http://aka.ms/SurfaceGoLTE/