ProductCode,Model,WindowsBuild,WindowsVersion
8846,HP ZBook Firefly 15 inch G8 Mobile workstation PC,21H2,Win10
8847,HP Elitebook x360 830 G8 Notebook PC,21H2,Win11
83B3,HP EliteBook 830 G5,21H2,Win11
854A,HP EliteBook 830 G6,21H2,Win11
8723,HP EliteBook 830 G7,21H2,Win11
83B3,HP EliteBook 830 G5,21H2,Win11
854A,HP EliteBook 830 G6,21H2,Win11
8723,HP EliteBook 830 G7 Notebook PC,21H2,Win11
880D,HP EliteBook 830 G8 Notebook PC,21H2,Win11
83B2,HP EliteBook 840 G5,21H2,Win11
83B2,HP EliteBook 850 G5,21H2,Win11
8549,HP EliteBook 850 G6,21H2,Win11
8724,HP EliteBook 850 G7 Notebook PC,21H2,Win11
8847,HP Elitebook 850 G8 Notebook PC,21H2,Win11
8846,HP Elitebook 850 G8 Notebook PC,21H2,Win11
827D,HP EliteBook x360 1030 G2,21H2,Win11
8548,HP EliteBook x360 830 G6,21H2,Win11
8725,HP EliteBook x360 830 G7 Notebook PC,21H2,Win11
8847,HP Elitebook x360 830 G8 Notebook PC,21H2,Win11
83E2,HP EliteDesk 800 G4 DM 35W,21H2,Win11
8594,HP EliteDesk 800 G5 Desktop Mini,21H2,Win11
8595,HP EliteDesk 800 G5 Desktop Mini,21H2,Win11
8711,HP EliteDesk 800 G6 Desktop Mini PC,21H2,Win11
829B,HP EliteOne 800 G3 23.8-in Touch AiO,21H2,Win11
83E4,HP EliteOne 800 G4 23.8-in Touch AiO,21H2,Win11
874E,HP EliteOne 800 G6 24 All-in-one PC,21H2,Win11
1946,HP ProBook 430 G1,21H2,Win11
2246,HP ProBook 430 G2,21H2,Win11
80FF,HP ProBook 430 G3,21H2,Win11
822C,HP ProBook 430 G4,21H2,Win11
8377,HP ProBook 430 G5,21H2,Win11
8536,HP ProBook 430 G6,21H2,Win11
1993,HP ProBook 640 G1,21H2,Win11
80FD,HP ProBook 640 G2,21H2,Win11
82AA,HP ProBook 640 G3,21H2,Win11
83D2,HP ProBook 640 G4,21H2,Win11
1993,HP ProBook 650 G1,21H2,Win11
80FD,HP ProBook 650 G2,21H2,Win11
82AA,HP ProBook 650 G3,21H2,Win11
8416,HP ProBook 650 G4,21H2,Win11
856E,HP ProBook 650 G5,21H2,Win11
146D,HP ProBook 6550b,21H2,Win11
1471,HP ProBook 6550b,21H2,Win11
17AB,HP ProBook 6570b,21H2,Win11
18E7,HP ProDesk 600 G1 SFF,21H2,Win11
18E7,HP ProDesk 600 G1 TWR,21H2,Win11
8169,HP ProDesk 600 G2 DM,21H2,Win11
829E,HP ProDesk 600 G3 DM,21H2,Win11
18E8,HP ProOne 600 G1 AiO,21H2,Win11
805E,HP ProOne 600 G2,21H2,Win11
805E,HP ProOne 600 G2 21.5-in Non-Touch AiO,21H2,Win11
805E,HP ProOne 600 G2 21.5-in Touch AiO,21H2,Win11
81A0,HP Spectre Pro G1,21H2,Win11
8455,HP Z2 Tower G4 Workstation,21H2,Win11
1790,HP Z220 CMT Workstation,21H2,Win11
8455,HP Z2G4T i78700K 16GB/512 PC,21H2,Win11
81C6,HP Z6 G4 Workstation,21H2,Win11
80D5,HP ZBook 15 G3,21H2,Win11